timestamp,ear,mar,status
1776423801.4570925,0.2782,0.5098,ALERT
1776423801.5056436,0.2591,0.5003,ALERT
1776423801.5296488,0.274,0.5089,ALERT
1776423801.571666,0.2644,0.5214,ALERT
1776423801.5872028,0.2781,0.5219,ALERT
1776423801.6372013,0.3048,0.5294,ALERT
1776423801.6532004,0.2981,0.5598,ALERT
1776423801.7010212,0.2938,0.5716,ALERT
1776423801.7150223,0.2786,0.5697,ALERT
1776423801.7630236,0.2853,0.5887,ALERT
1776423801.7800362,0.2766,0.5753,ALERT
1776423801.846575,0.2848,0.5682,ALERT
1776423801.8635747,0.2955,0.578,ALERT
1776423801.9101143,0.2849,0.578,ALERT
1776423801.927114,0.2678,0.5682,ALERT
1776423801.9761293,0.2574,0.5487,ALERT
1776423801.9916863,0.2655,0.548,ALERT
1776423802.0386808,0.2629,0.5391,ALERT
1776423802.055686,0.2734,0.5384,ALERT
1776423802.1012254,0.2639,0.5604,ALERT
1776423802.1182277,0.2683,0.5496,ALERT
1776423802.1832411,0.2586,0.5384,ALERT
1776423802.1987782,0.2586,0.5583,ALERT
1776423802.24678,0.2567,0.5294,ALERT
1776423802.2637794,0.2594,0.5393,ALERT
1776423802.3123274,0.2713,0.4621,ALERT
1776423802.3283277,0.274,0.4618,ALERT
1776423802.373344,0.2721,0.4641,ALERT
1776423802.3898783,0.2676,0.4461,ALERT
1776423802.4378734,0.263,0.4488,ALERT
1776423802.4568758,0.2459,0.4645,ALERT
1776423802.5074182,0.1603,0.458,ALERT
1776423802.5234146,0.1598,0.458,ALERT
1776423802.5414166,0.1554,0.451,ALERT
1776423802.5814319,0.1968,0.4516,ALERT
1776423802.645962,0.23,0.4615,ALERT
1776423802.6639643,0.2266,0.4539,ALERT
1776423802.7742724,0.2278,0.4621,ALERT
1776423802.7897897,0.2429,0.4546,ALERT
1776423802.8157978,0.258,0.4547,ALERT
1776423802.832792,0.2662,0.4539,ALERT
1776423802.8497946,0.2762,0.4706,ALERT
1776423802.8667932,0.2737,0.4559,ALERT
1776423802.9023478,0.2797,0.4632,ALERT
1776423802.919352,0.2754,0.4632,ALERT
1776423802.9373481,0.2794,0.4632,ALERT
1776423802.9833634,0.2924,0.4595,ALERT
1776423803.046904,0.32,0.4605,ALERT
1776423803.062853,0.3197,0.4605,ALERT
1776423803.1112206,0.332,0.474,ALERT
1776423803.1262157,0.3439,0.462,ALERT
1776423803.1722143,0.346,0.4635,ALERT
1776423803.1862283,0.3602,0.4588,ALERT
1776423803.2387998,0.3787,0.4731,ALERT
1776423803.2547996,0.3864,0.4588,ALERT
1776423803.3163419,0.3924,0.4713,ALERT
1776423803.33134,0.3764,0.4535,ALERT
1776423803.348339,0.3749,0.4535,ALERT
1776423803.3813512,0.3812,0.4658,ALERT
1776423803.447883,0.3173,0.4564,ALERT
1776423803.4648802,0.3149,0.4634,ALERT
1776423803.5104365,0.2635,0.4837,ALERT
1776423803.5264428,0.2481,0.4659,ALERT
1776423803.5744522,0.2426,0.4603,ALERT
1776423803.590986,0.2426,0.4662,ALERT
1776423803.6399865,0.2521,0.4656,ALERT
1776423803.668988,0.2437,0.4596,ALERT
1776423803.6915305,0.2506,0.466,ALERT
1776423803.723533,0.2494,0.4603,ALERT
1776423803.7395306,0.2452,0.4607,ALERT
1776423803.783543,0.2396,0.4601,ALERT
1776423803.8471122,0.2243,0.4605,ALERT
1776423803.8641047,0.2213,0.4607,ALERT
1776423803.9156451,0.2073,0.4599,ALERT
1776423803.9336438,0.1697,0.4657,ALERT
1776423803.9756582,0.2238,0.4599,ALERT
1776423803.9931853,0.2332,0.4604,ALERT
1776423804.0361862,0.2231,0.4703,ALERT
1776423804.0481875,0.2186,0.4596,ALERT
1776423804.064189,0.2186,0.4708,ALERT
1776423804.1183748,0.2199,0.4529,ALERT
1776423804.1323822,0.1959,0.4647,ALERT
1776423804.1783912,0.1842,0.4568,ALERT
1776423804.2439163,0.2457,0.4625,ALERT
1776423804.2609248,0.2441,0.4511,ALERT
1776423804.3104503,0.2119,0.46,ALERT
1776423804.3264456,0.2308,0.4606,ALERT
1776423804.3754597,0.1883,0.4586,ALERT
1776423804.3910143,0.1952,0.4597,ALERT
1776423804.414019,0.2066,0.4658,ALERT
1776423804.4550092,0.2163,0.4556,ALERT
1776423804.4690142,0.1984,0.4728,ALERT
1776423804.5165591,0.1438,0.4569,ALERT
1776423804.5335581,0.1493,0.4634,ALERT
1776423804.5765734,0.1561,0.4606,ALERT
1776423804.6420543,0.2009,0.4583,ALERT
